# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Transmission[no-units]
1256.68845 0.969714
1256.78222 0.969652
1256.876 0.969464
1256.96978 0.969075
1257.06358 0.96875
1257.15738 0.968576
1257.25118 0.964758
1257.345 0.939473
1257.43882 0.911103
1257.53265 0.938621
1257.62648 0.96325
1257.72033 0.967207
1257.81418 0.967109
1257.90803 0.966494
1258.00189 0.965846
1258.09576 0.965142
1258.18964 0.965978
1258.28353 0.966498
1258.37742 0.965536
1258.47132 0.964057
1258.56522 0.963024
1258.65913 0.961718
1258.75305 0.963652
1258.84698 0.964119
1258.94091 0.955592
1259.03485 0.923714
1259.1288 0.894979
1259.22275 0.925431
1259.31672 0.956263
1259.41068 0.962512
1259.50466 0.959065
1259.59864 0.954624
1259.69263 0.955928
1259.78663 0.952761
1259.88063 0.951152
1259.97464 0.956842
1260.06866 0.954036
1260.16268 0.946353
1260.25671 0.952323
1260.35075 0.94928
1260.4448 0.938402
1260.53885 0.947761
1260.63291 0.94923
1260.72698 0.908468
1260.82105 0.867475
1260.91513 0.912206
1261.00922 0.936428
1261.10331 0.924322
1261.19742 0.940171
1261.29152 0.95302
1261.38564 0.93816
1261.47976 0.918609
1261.57389 0.937391
1261.66803 0.948463
1261.76217 0.928557
1261.85632 0.911452
1261.95048 0.932229
