# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1811.34966 695.425
1811.71197 112300
1812.07435 94380.7
1812.4368 418.132
1812.79932 1128.11
1813.16192 594.892
1813.52459 534.92
1813.88733 274.372
1814.25014 199.748
1814.61303 228.651
1814.97599 709.619
1815.33902 636.973
1815.70212 1193.23
1816.0653 519.614
1816.42855 762.301
1816.79187 421.593
1817.15526 834.37
1817.51873 275.315
1817.88227 251.098
1818.24588 487.146
1818.60957 1149.18
1818.97333 540.358
1819.33716 323.745
1819.70106 587.213
1820.06504 922.089
1820.42909 1382.49
1820.79321 1269.58
1821.15741 22161.7
1821.52167 1111.17
1821.88602 988.311
1822.25043 1170.14
1822.61492 955.818
1822.97947 685.487
1823.34411 308.251
1823.70881 247.933
1824.07359 263.706
1824.43844 284.817
1824.80337 635.761
1825.16836 30834.7
1825.53343 29945.2
1825.89858 847.722
1826.26379 1462.66
1826.62908 1333.77
1826.99444 754.12
